match_id,date,team1,team2,venue,city,winner,toss_winner,toss_decision
1490428,2025-10-15,England,Pakistan,"R Premadasa Stadium, Colombo",Colombo,,Pakistan,field
1243913,2022-03-08,Pakistan,Australia,"Bay Oval, Mount Maunganui",Mount Maunganui,Australia,Australia,field
1243938,2022-04-03,Australia,England,"Hagley Oval, Christchurch",Christchurch,Australia,England,field
1243926,2022-03-20,New Zealand,England,"Eden Park, Auckland",Auckland,England,England,field
1490440,2025-10-26,Bangladesh,India,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,,India,field
1243922,2022-03-16,India,England,"Bay Oval, Mount Maunganui",Mount Maunganui,England,England,field
1243919,2022-03-14,England,South Africa,"Bay Oval, Mount Maunganui",Mount Maunganui,South Africa,South Africa,field
1243916,2022-03-11,South Africa,Pakistan,"Bay Oval, Mount Maunganui",Mount Maunganui,South Africa,Pakistan,field
1085974,2017-07-20,India,Australia,County Ground,Derby,India,India,bat
1490432,2025-10-19,England,India,"Holkar Cricket Stadium, Indore",Indore,England,England,bat
1085967,2017-07-12,Australia,India,County Ground,Bristol,Australia,Australia,field
1490434,2025-10-21,South Africa,Pakistan,"R Premadasa Stadium, Colombo",Colombo,South Africa,Pakistan,field
1085946,2017-06-24,England,India,County Ground,Derby,India,England,field
1085947,2017-06-25,Pakistan,South Africa,Grace Road,Leicester,South Africa,South Africa,field
1243920,2022-03-14,Bangladesh,Pakistan,"Seddon Park, Hamilton",Hamilton,Bangladesh,Pakistan,field
1243936,2022-03-30,Australia,West Indies,"Basin Reserve, Wellington",Wellington,Australia,West Indies,field
1243908,2022-03-04,West Indies,New Zealand,"Bay Oval, Mount Maunganui",Mount Maunganui,West Indies,New Zealand,field
357962,2009-03-10,England,India,North Sydney Oval,Sydney,England,England,field
594891,2013-01-31,India,West Indies,Brabourne Stadium,Mumbai,India,West Indies,field
1085959,2017-07-05,Australia,Pakistan,Grace Road,Leicester,Australia,Australia,bat
1490431,2025-10-18,Pakistan,New Zealand,"R Premadasa Stadium, Colombo",Colombo,,New Zealand,field
1243917,2022-03-12,India,West Indies,"Seddon Park, Hamilton",Hamilton,India,India,bat
1243929,2022-03-22,India,Bangladesh,"Seddon Park, Hamilton",Hamilton,India,India,bat
1490438,2025-10-25,South Africa,Australia,"Holkar Cricket Stadium, Indore",Indore,Australia,Australia,field
594897,2013-02-03,India,England,Brabourne Stadium,Mumbai,England,India,field
1243927,2022-03-21,West Indies,Pakistan,"Seddon Park, Hamilton",Hamilton,Pakistan,Pakistan,field
594912,2013-02-13,England,New Zealand,Brabourne Stadium,Mumbai,England,England,bat
1085949,2017-06-27,England,Pakistan,Grace Road,Leicester,England,Pakistan,field
594901,2013-02-05,India,Sri Lanka,Brabourne Stadium,Mumbai,Sri Lanka,Sri Lanka,bat
1085952,2017-06-29,Australia,Sri Lanka,County Ground,Bristol,Australia,Australia,field
1085971,2017-07-15,India,New Zealand,County Ground,Derby,India,New Zealand,field
1243921,2022-03-15,West Indies,Australia,"Basin Reserve, Wellington",Wellington,Australia,West Indies,bat
1085953,2017-07-02,England,Sri Lanka,County Ground,Taunton,England,Sri Lanka,bat
1085958,2017-07-05,India,Sri Lanka,County Ground,Derby,India,India,bat
1490424,2025-10-11,England,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,England,Sri Lanka,field
1085957,2017-07-05,England,South Africa,County Ground,Bristol,England,England,bat
1243937,2022-03-31,England,South Africa,"Hagley Oval, Christchurch",Christchurch,England,South Africa,field
1085960,2017-07-06,New Zealand,West Indies,County Ground,Taunton,New Zealand,New Zealand,field
1085956,2017-07-02,South Africa,West Indies,Grace Road,Leicester,South Africa,South Africa,field
1085955,2017-07-02,India,Pakistan,County Ground,Derby,India,India,bat
1490437,2025-10-24,Pakistan,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,,Sri Lanka,field
1490422,2025-10-09,India,South Africa,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,South Africa,South Africa,field
1243915,2022-03-10,New Zealand,India,"Seddon Park, Hamilton",Hamilton,New Zealand,India,field
1490426,2025-10-13,Bangladesh,South Africa,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,South Africa,Bangladesh,bat
1490414,2025-10-01,Australia,New Zealand,"Holkar Cricket Stadium, Indore",Indore,Australia,Australia,bat
1490420,2025-10-07,Bangladesh,England,"Barsapara Cricket Stadium, Guwahati",Guwahati,England,England,field
1490427,2025-10-14,Sri Lanka,New Zealand,"R Premadasa Stadium, Colombo",Colombo,,Sri Lanka,bat
1490435,2025-10-22,England,Australia,"Holkar Cricket Stadium, Indore",Indore,Australia,Australia,field
594907,2013-02-10,Australia,Sri Lanka,Brabourne Stadium,Mumbai,Australia,Australia,field
1490418,2025-10-05,India,Pakistan,"R Premadasa Stadium, Colombo",Colombo,India,Pakistan,field
1085968,2017-07-12,England,New Zealand,County Ground,Derby,England,England,bat
1490419,2025-10-06,New Zealand,South Africa,"Holkar Cricket Stadium, Indore",Indore,South Africa,New Zealand,bat
1490415,2025-10-02,Pakistan,Bangladesh,"R Premadasa Stadium, Colombo",Colombo,Bangladesh,Pakistan,bat
1085951,2017-06-29,India,West Indies,County Ground,Taunton,India,India,field
1243910,2022-03-05,Australia,England,"Seddon Park, Hamilton",Hamilton,Australia,England,field
1085970,2017-07-15,England,West Indies,County Ground,Bristol,England,West Indies,field
1243931,2022-03-24,Pakistan,England,"Hagley Oval, Christchurch",Christchurch,England,England,field
1085973,2017-07-18,South Africa,England,County Ground,Bristol,England,South Africa,bat
1243923,2022-03-17,New Zealand,South Africa,"Seddon Park, Hamilton",Hamilton,South Africa,New Zealand,bat
1490436,2025-10-23,India,New Zealand,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India,New Zealand,field
1490423,2025-10-10,New Zealand,Bangladesh,"Barsapara Cricket Stadium, Guwahati",Guwahati,New Zealand,New Zealand,bat
1490413,2025-09-30,India,Sri Lanka,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,Sri Lanka,field
1243911,2022-03-06,India,Pakistan,"Bay Oval, Mount Maunganui",Mount Maunganui,India,India,bat
1085965,2017-07-11,Pakistan,West Indies,Grace Road,Leicester,West Indies,Pakistan,field
1490430,2025-10-17,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Colombo,South Africa,Sri Lanka,bat
594914,2013-02-15,England,New Zealand,Brabourne Stadium,Mumbai,England,England,field
1085961,2017-07-08,New Zealand,Pakistan,County Ground,Taunton,New Zealand,Pakistan,bat
594904,2013-02-08,Australia,England,Brabourne Stadium,Mumbai,Australia,England,field
1490439,2025-10-26,New Zealand,England,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,England,New Zealand,bat
1085945,2017-06-24,New Zealand,Sri Lanka,County Ground,Bristol,New Zealand,New Zealand,field
1243930,2022-03-24,South Africa,West Indies,"Basin Reserve, Wellington",Wellington,,West Indies,field
1243924,2022-03-18,West Indies,Bangladesh,"Bay Oval, Mount Maunganui",Mount Maunganui,West Indies,Bangladesh,field
1243928,2022-03-22,South Africa,Australia,"Basin Reserve, Wellington",Wellington,Australia,Australia,field
1490441,2025-10-29,South Africa,England,"Barsapara Cricket Stadium, Guwahati",Guwahati,South Africa,England,field
1243933,2022-03-26,New Zealand,Pakistan,"Hagley Oval, Christchurch",Christchurch,New Zealand,Pakistan,field
594894,2013-02-01,England,Sri Lanka,Brabourne Stadium,Mumbai,Sri Lanka,Sri Lanka,field
